"Product ID";"Active (0/1)";Name;"Categories (x,y,z...)";"Price tax excluded";"Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier ID";"Manufacturer ID";EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";"Unit for the unit price";"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse;Accessories;Carriers;"Customization Fields";"Attacments Ids";"Date Update";"Base price"
1;1;"16 oz Refillable Container is Perfect for Essential Oils";3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;27.512;27.512;1;0.000000;1;;;;;;;1;2;;;0.000000;0.000000;0.000000;0.000000;100.000000;98;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>
<p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p>
<p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;16-oz-refillable-container-is-perfect-for-essential-oils;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/1/1.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/2.jpg,http://localhost/Prestashop/prestashop_011/img/p/3/3.jpg,http://localhost/Prestashop/prestashop_011/img/p/4/4.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/5.jpg,http://localhost/Prestashop/prestashop_011/img/p/6/6.jpg;0;1:42:1,2:42:2,4:42:3;1;new;2;1;1;2;1;0;;;3,5,6,7,9,10,12,18;;"1:0:1:Text,2:1:1:Text description";;"2015-02-25 04:31:01";28.960000
2;1;"Aura Cacia Organic Natural Skin Care Restoring Rosehip Oil with Vitamin E";16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31;28.96;28.96;1;0.000000;0;;;;;;;2;2;;;0.000000;0.000000;0.000000;0.000000;101.000000;98;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>
<p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p>
<p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;aura-cacia-organic-natural-skin-care-restoring-rosehip-oil-with-vitamin-e;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/7/7.jpg,http://localhost/Prestashop/prestashop_011/img/p/8/8.jpg,http://localhost/Prestashop/prestashop_011/img/p/9/9.jpg,http://localhost/Prestashop/prestashop_011/img/p/1/0/10.jpg,http://localhost/Prestashop/prestashop_011/img/p/1/1/11.jpg,http://localhost/Prestashop/prestashop_011/img/p/1/2/12.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;3,4,6,10,12,17;;;;"2015-02-25 04:32:57";28.960000
3;1;"Avalon Organics Thickening Shampoo";2,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42;20.2032;20.2032;1;0.000000;1;;;;;;;3;3;;;0.000000;0.000000;0.000000;0.000000;102.000000;0;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>
<p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p>
<p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;avalon-organics-thickening-shampoo;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/1/3/13.jpg,http://localhost/Prestashop/prestashop_011/img/p/1/4/14.jpg,http://localhost/Prestashop/prestashop_011/img/p/1/5/15.jpg,http://localhost/Prestashop/prestashop_011/img/p/1/6/16.jpg,http://localhost/Prestashop/prestashop_011/img/p/1/7/17.jpg,http://localhost/Prestashop/prestashop_011/img/p/1/8/18.jpg;0;1:42:1,2:42:2,4:42:3;1;new;0;0;0;2;1;0;;;;;;;"2015-02-25 04:33:38";21.960000
4;1;"Babyganics Alcohol-Free Foaming Hand Sanitizer Fragrance Free 8.45oz Pump Bottle";2,3,4,5,6,7,8,9,10,11,12,13,14,15,38,39,42,43;27.51;27.51;1;0.000000;0;;;;;;;4;4;;;0.000000;0.000000;0.000000;0.000000;103.000000;98;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p><p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p><p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of  organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;babyganics-alcohol-free-foaming-hand-sanitizer-fragrance-free-845oz-pump-bottle;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/1/9/19.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/0/20.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/1/21.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/2/22.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/3/23.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/4/24.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-02-20 11:35:58";27.510000
5;1;"BEST Vitamin C Serum For Face 2015";2,16,17,18,19,20,21,22,23,24,25,40,41;20.96;20.96;1;0.000000;0;;;;;;;5;5;;;0.000000;0.000000;0.000000;0.000000;104.000000;100;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p><p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p><p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of  organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;best-vitamin-c-serum-for-face-2015;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/2/5/25.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/6/26.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/7/27.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/8/28.jpg,http://localhost/Prestashop/prestashop_011/img/p/2/9/29.jpg,http://localhost/Prestashop/prestashop_011/img/p/3/0/30.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-02-20 11:36:25";20.960000
6;1;"Coconoil Certified Virgin Organic Coconut Oil";2,26,27,28,29,30,31,32,33,34,35,36,37;30.96;30.96;1;0.000000;0;;;;;;;6;6;;;0.000000;0.000000;0.000000;0.000000;105.000000;100;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p><p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p><p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of  organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;coconoil-certified-virgin-organic-coconut-oil;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/3/1/31.jpg,http://localhost/Prestashop/prestashop_011/img/p/3/2/32.jpg,http://localhost/Prestashop/prestashop_011/img/p/3/3/33.jpg,http://localhost/Prestashop/prestashop_011/img/p/3/4/34.jpg,http://localhost/Prestashop/prestashop_011/img/p/3/5/35.jpg,http://localhost/Prestashop/prestashop_011/img/p/3/6/36.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-02-20 11:36:53";30.960000
7;1;"Ecco Bella FlowerColor Liquid Foundation SPF 15 Natural";2,3,4,5,6,7,8,9,10,11,12,13,14,15,38,39,42,43;78.96;78.96;1;0.000000;0;;;;;;;7;7;;;0.000000;0.000000;0.000000;0.000000;106.000000;98;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p><p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p><p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of  organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;ecco-bella-flowercolor-liquid-foundation-spf-15-natural;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/3/7/37.jpg,http://localhost/Prestashop/prestashop_011/img/p/3/8/38.jpg,http://localhost/Prestashop/prestashop_011/img/p/3/9/39.jpg,http://localhost/Prestashop/prestashop_011/img/p/4/0/40.jpg,http://localhost/Prestashop/prestashop_011/img/p/4/1/41.jpg,http://localhost/Prestashop/prestashop_011/img/p/4/2/42.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-02-20 11:37:19";78.960000
8;1;"Eminence Organic Skincare Bearberry Eye Repair Cream 0.5 oz";2,16,17,18,19,20,21,22,23,24,25,40,41;24.6048;24.6048;1;0.000000;1;;;;;;;8;8;;;0.000000;0.000000;0.000000;0.000000;107.000000;100;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p><p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p><p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of  organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;eminence-organic-skincare-bearberry-eye-repair-cream-05-oz;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/4/3/43.jpg,http://localhost/Prestashop/prestashop_011/img/p/4/4/44.jpg,http://localhost/Prestashop/prestashop_011/img/p/4/5/45.jpg,http://localhost/Prestashop/prestashop_011/img/p/4/6/46.jpg,http://localhost/Prestashop/prestashop_011/img/p/4/7/47.jpg,http://localhost/Prestashop/prestashop_011/img/p/4/8/48.jpg;0;1:42:1,2:42:2,4:42:3;1;new;0;0;0;2;1;0;;;;;;;"2015-02-20 11:37:45";27.960000
9;1;"Eminence Strawberry Rhubarb Dermafoliant, 4.2 Ounce";2,26,27,28,29,30,31,32,33,34,35,36,37;30.5425;30.5425;1;0.000000;1;;;;;;;1;2;;;0.000000;0.000000;0.000000;0.000000;108.000000;100;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p><p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p><p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of  organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;eminence-strawberry-rhubarb-dermafoliant-42-ounce;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/4/9/49.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/0/50.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/1/51.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/2/52.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/3/53.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/4/54.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-02-20 11:38:09";32.150000
10;1;"JASON Kids Only! Daily Detangling Shampoo 8 Ounce Bottle";2,3,4,5,6,7,8,9,10,11,12,13,14,15,38,39,42,43;35.0175;35.0175;1;0.000000;1;;;;;;;2;3;;;0.000000;0.000000;0.000000;0.000000;109.000000;100;1;both;0.00;;0;"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p>";"<p>Our company advocates the postulate that the health is the biggest value in our lives. The point is that science and nature are easily combined in products that we are glad to offer you today. Our goal is to help you stay healthy as well as gorgeous at the same time. Soon you’ll discover how it is possible to use organic cosmetics for your body.</p><p>You can shop with the confidence that you are in the place which has over twenty years of experience in organic cosmetics industry. We’ve collected all our knowledge to deliver you only the best organic, biodynamic, natural, wild-harvested cosmetology brands in the world.</p><p>Also you can always contact our consultants that are always glad to provide you with full information about our goods and natural products that are used in the process of production of  organic cosmetics. Our goal is to satisfy all our clients despite of their age, gender and race with premium, modern, effective alternatives to conventional beauty products.</p>";;;;;jason-kids-only-daily-detangling-shampoo-8-ounce-bottle;;;1;0000-00-00;"2015-02-20 11:33:45";1;http://localhost/Prestashop/prestashop_011/img/p/5/5/55.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/6/56.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/7/57.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/8/58.jpg,http://localhost/Prestashop/prestashop_011/img/p/5/9/59.jpg,http://localhost/Prestashop/prestashop_011/img/p/6/0/60.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-02-20 11:38:35";40.250000
